"naam";"kvk";"rechtsvorm";"straat";"huisnummer";"huisletter";"huisnummerToevoeging";"postcode";"woonplaatsnaam";"landnaam";"zaanvadresinfo";"locatienaam";"lomschrijving";"vestigingsnummer";"lstraat";"lhuisnummer";"lhuisletter";"lhuisnummerToevoeging";"lpostcode";"lwoonplaatsnaam";"llandnaam";"laanvadresinfo";"isaccommodatie";"iswzd";"iswvggz";"aantekeningingang";"aantekeningeinde";"zvbejegening";"zvverzorging";"zvverpleging";"zvbehandeling";"zvbegeleiding";"zvbescherming";"zvvochtvoedingmedicatie";"zvmedishcecontroles";"zvbeperkenbewegingsvrijheid";"zvinsluiten";"zvtoezicht";"zvonderzoekkledinglichaam";"zvonderzoekwoonruimte";;"zvbeperkeneigenleven";"zvbeperkenbezoek";"zvopnemen";"zvtijdelijkverblijf"
"Stichting WIJdezorg";62375644;"Stichting";"Postbus ";"66";;;"2380 AB";"Zoeterwoude";"Nederland";;"Woongroep in Kaleidoskoop";;;"De Verbinding ";"14";;;"2421 EX";"Nieuwkoop";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting WIJdezorg";62375644;"Stichting";"Postbus ";"66";;;"2380 AB";"Zoeterwoude";"Nederland";;"Woongroep in Kaleidoskoop";;;"De Verbinding ";"16";;;"2421 EX";"Nieuwkoop";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting WIJdezorg";62375644;"Stichting";"Postbus ";"66";;;"2380 AB";"Zoeterwoude";"Nederland";;"Woongroep in Kaleidoskoop";;;"De Verbinding ";"18";;;"2421 EX";"Nieuwkoop";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Rivas Zorggroep";62375644;;"Postbus ";"90";;;"4200 AB";"Gorinchem";"Nederland";;"Woonvoorziening 't Waellant";;;"Ooievaar ";"140";;;"2957 NH";"Nieuw-Lekkerland";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Rivas Zorggroep";62375644;;"Postbus ";"90";;;"4200 AB";"Gorinchem";"Nederland";;"Woonvoorziening 't Waellant";;;"Ooievaar ";"150";;;"2957 NH";"Nieuw-Lekkerland";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Rivas Zorggroep";62375644;;"Postbus ";"90";;;"4200 AB";"Gorinchem";"Nederland";;"Woonvoorziening 't Waellant";;;"Ooievaar ";"154";;;"2957 NH";"Nieuw-Lekkerland";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Rivas Zorggroep";62375644;;"Postbus ";"90";;;"4200 AB";"Gorinchem";"Nederland";;"Woonvoorziening 't Waellant";;;"Ooievaar ";"156";;;"2957 NH";"Nieuw-Lekkerland";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Zorgspectrum Het Zand";62375644;"Stichting";"Postbus ";"40182";;;"8004 DD";"Zwolle";"Nederland";;"Verpleegunit in Verzorgingshuis De Hulstkampen";;;"Raiffeisenstraat ";"1";;;"7711 JE";"Nieuwleusen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Rivas Zorggroep";62375644;;"Postbus ";"90";;;"4200 AB";"Gorinchem";"Nederland";;"Woonvoorziening De Vijverhof";;;"Vlietzicht ";"3";;;"2965 CG";"Nieuwpoort";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Rivas Zorggroep";62375644;;"Postbus ";"90";;;"4200 AB";"Gorinchem";"Nederland";;"Woonvoorziening De Vijverhof";;;"Vlietzicht ";"4";"a";;"2965 CG";"Nieuwpoort";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Rivas Zorggroep";62375644;;"Postbus ";"90";;;"4200 AB";"Gorinchem";"Nederland";;"Woonvoorziening De Vijverhof";;;"Vlietzicht ";"7";;;"2965 CG";"Nieuwpoort";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Protestants Christelijke Stichting Ouderenzorg Haarlemmermeer (PCSOH)";62375644;"Stichting";"Kruislaan ";"54";;;"2131 WE";"Hoofddorp";"Nederland";;"Kleinschalige woonvormen voor pg-cliënten in Westerkim";;;"Zaaierstraat ";"1";;;"2151 CK";"Nieuw-Vennep";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Cordaan";62375644;"Stichting";"Postbus ";"1103";;;"1000 BC";"Amsterdam";"Nederland";;"Vierde verdieping van Zorgcentrum In het Zomerpark";;;"Remmersteinpark ";"3";;;"2151 KE";"Nieuw-Vennep";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Cordaan";62375644;"Stichting";"Postbus ";"1103";;;"1000 BC";"Amsterdam";"Nederland";;"Vierde verdieping van Zorgcentrum In het Zomerpark";;;"Remmersteinpark ";"5";;;"2151 KE";"Nieuw-Vennep";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting tanteLouise";62375644;"Stichting";"Postbus ";"73";;;"4600 AB";"Bergen Op Zoom";"Nederland";;"Verpleegafdeling op de begane grond (kamers 18 K.101 t/m 112) in Woonzorgcentrum De Vossemeren";;;"Dortmundstraat ";"18";;;"4681 AV";"Nieuw-Vossemeer";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting tanteLouise";62375644;"Stichting";"Postbus ";"73";;;"4600 AB";"Bergen Op Zoom";"Nederland";;"Verpleegafdeling in de tijdelijke huisvesting van de Lindenburgh";;;"De Ambacht ";"18";;;"4681 CV";"Nieuw-Vossemeer";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Beweging 3.0";62375644;"Stichting";"Postbus ";"2633";;;"3800 GD";"Amersfoort";"Nederland";;"Beweging 3.0 Woonzorgcentrum Huize Sint Jozef, woongroep Torenhof";;;"Huserstraat ";"6";;;"3861 CK";"Nijkerk";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Amaris Zorggroep";62375644;;"Werkdroger ";"1";;;"1251 CM";"Laren";"Nederland";;"Verpleegafdeling (1e verdieping) in Woonzorgcentrum Amaris Arkemheen";;;"Vetkamp ";"25";;;"3862 JM";"Nijkerk";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Amaris Zorggroep";62375644;;"Werkdroger ";"1";;;"1251 CM";"Laren";"Nederland";;"Verpleegafdeling in Amaris Arkemheen (nieuwbouw)";;;"Vetkamp ";"25";;;"3862 JM";"Nijkerk";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Beweging 3.0";62375644;"Stichting";"Postbus ";"2633";;;"3800 GD";"Amersfoort";"Nederland";;"Beweging 3.0 Woonzorgcentrum De Pol";;;"Vetkamp ";"85";;;"3862 JN";"Nijkerk";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Psychogeriatrische afdeling in Verzorgingshuis Nieuw Malderborgh";;;"Malderburchtstraat ";"2";;;"6535 NC";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Twee woongroepen op de begane grond en twee woongroepen op de 1e verdieping van locatie De Wollewei";;;"Malvert ";"8201";;;"6538 CX";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting De Waalboog";62375644;"Stichting";"Postbus ";"31071";;;"6503 CB";"Nijmegen";"Nederland";;"Verpleegafdeling Orchidee op de 6e verdieping in Woonzorgcentrum Nijevelt";;;"Heyendaalseweg ";"117";;;"6525 AH";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting De Waalboog";62375644;"Stichting";"Postbus ";"31071";;;"6503 CB";"Nijmegen";"Nederland";;"Verpleegafdelingen Meidoorn en Plataan op de 1e en 2e verdieping van de hoogbouw van locatie Nijevelt";;;"Heyendaalseweg ";"117";;;"6525 AH";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting De Waalboog";62375644;"Stichting";"Postbus ";"31071";;;"6503 CB";"Nijmegen";"Nederland";;"Verpleegafdeling op de 1e verdieping van de laagbouw van Woonzorgcentrum Nijevelt";;;"Heyendaalseweg ";"117";;;"6525 AH";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting De Waalboog";62375644;"Stichting";"Postbus ";"31071";;;"6503 CB";"Nijmegen";"Nederland";;"Verpleegafdeling op de begane grond van de laagbouw van Woonzorgcentrum Nijevelt";;;"Heyendaalseweg ";"117";;;"6525 AH";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Jan Berchmans";62375644;"Stichting";"Heyendaalseweg ";"290";;;"6525 SM";"Nijmegen";"Nederland";;"Verpleegafdeling op de begane grond van Kloosterverpleeg- en verzorgingshuis Aqua Viva";;;"Heyendaalseweg ";"290";;;"6525 SM";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Jan Berchmans";62375644;"Stichting";"Heyendaalseweg ";"290";;;"6525 SM";"Nijmegen";"Nederland";;"Verpleegafdeling op de 2e verdieping van Kloosterverpleeg- en verzorgingshuis Aqua Viva";;;"Heyendaalseweg ";"290";;;"6525 SM";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting De Waalboog";62375644;"Stichting";"Postbus ";"31071";;;"6503 CB";"Nijmegen";"Nederland";;"Verpleeghuis Joachim en Anna (inclusief afdelingen in de nieuwbouw)";;;"Groesbeekseweg ";"327";;;"6523 PA";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Kleinschalige wooneenheden op de begane grond, de 1e verdieping en de 3e verdieping van locatie Juliana";;;"Dr. Claes Noorduijnstraat ";"5";"R";;"6522 AS";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Kleinschalige wooneenheid De Globe";;;"Graafsedwarsstraat ";"46";;;"6512 ES";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Kleinschalige wooneenheid De Globe";;;"Graafsedwarsstraat ";"48";;;"6512 ES";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Kleinschalige wooneenheid De Globe";;;"Graafsedwarsstraat ";"50";;;"6512 ES";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Kalorama";62375644;"Stichting";"Postbus ";"85";;;"6573 ZH";"Beek-Ubbergen";"Nederland";;"Veste Brakkenstein";;;"Driehuizerweg ";"376";;;"6525 PP";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Kleinschalige verpleegunit Waterrijk";;;"Irene Vorrinkstraat ";"411";;;"6535 NB";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Kleinschalige verpleegunit Waterrijk";;;"Irene Vorrinkstraat ";"413";;;"6535 NB";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Kleinschalige verpleegunit Waterrijk";;;"Irene Vorrinkstraat ";"429";;;"6535 NB";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Kleinschalige verpleegunit Waterrijk";;;"Irene Vorrinkstraat ";"431";;;"6535 NB";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting De Waalboog";62375644;"Stichting";"Postbus ";"31071";;;"6503 CB";"Nijmegen";"Nederland";;"Verpleegunit op de tweede etage in de laagbouw van De Honinghoeve";;;"Albanystraat ";"7";;;"6544 AR";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting De Waalboog";62375644;"Stichting";"Postbus ";"31071";;;"6503 CB";"Nijmegen";"Nederland";;"Verpleegunit op de eerste etage in de laagbouw van De Honinghoeve";;;"Albanystraat ";"7";;;"6544 AR";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting De Waalboog";62375644;"Stichting";"Postbus ";"31071";;;"6503 CB";"Nijmegen";"Nederland";;"Verpleegafdelingen op de zesde en de zevende etage in de hoogbouw van De Honinghoeve";;;"Albanystraat ";"7";;;"6544 AR";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Vier woongroepen in Wooncentrum Terra op de begane grond en de 1e verdieping";;;"Graspieperhof ";"166";;;"6541 NN";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting De Waalboog";62375644;"Stichting";"Postbus ";"31071";;;"6503 CB";"Nijmegen";"Nederland";;"Verpleegunit (4 groepswoningen) van Zorg- en behandelcentrum Joachim en Anna";;;"Bosweg ";"250";;;"6523 NN";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Twee woongroepen (begane grond en eerste verdieping) in Woonzorgcentrum Boszicht";;;"Heemraadstraat ";"10";;;"6525 TJ";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Zorgcentrum Huize Rosa";62375644;"Stichting";"Rosa de Limastraat ";"10";;;"6543 JG";"Nijmegen";"Nederland";;"Zes woongroepen in Zorgcentrum Huize Rosa";;;"Rosa de Limastraat ";"10";;;"6543 JG";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"ZZG Zorggroep";62375644;;"Postbus ";"9001";;;"6560 GB";"Groesbeek";"Nederland";;"Verpleegafdeling op de begane grond (2 woongroepen) en de 1e verdieping (1 woongroep) van locatie Horizon";;;"Meijhorst ";"2001";"A";;"6537 GA";"Nijmegen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ZorgAccent";62375644;"Stichting";"Postbus ";"226";;;"7600 AE";"Almelo";"Nederland";;"Verpleegunit in Woonzorgcentrum De Hoge Es";;;"Duivenbreeweg ";"24";"a";;"7441 EB";"Nijverdal";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Brabant Zorg";62375644;"Stichting";"Postbus ";"176";;;"5340 AD";"Oss";"Nederland";;"Afdeling kleinschalig wonen in Laarstede (voorheen ""De Stekkerhoek"")";;;"Laar ";"40";;;"5388 HH";"Nistelrode";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Zorggroep Noorderbreedte";62375644;"Stichting";"Postbus ";"1292";;;"8900 CG";"Leeuwarden";"Nederland";;"Verpleeghuis Nieuw Toutenburg";;;"Zomerweg ";"75";;;"9257 ME";"Noordbergum";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Noord-Nederlandse Coöperatie van Zorgorganisaties (NNCZ)";62375644;;"Stephensonstraat ";"1";;;"7903 AS";"Hoogeveen";"Nederland";;"Woonzorgcentrum Gockingaheem, afdelingen 1, 2 en 3";;;"Nanno Mulderstraat ";"22";;;"9635 CL";"Noordbroek";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Marente";62375644;"Stichting";"Postbus ";"55";;;"2215 ZH";"Voorhout";"Nederland";;"Verpleegunit in Woonzorgcentrum St. Jeroen";;;"Jeroenspark ";"1";;;"2201 KS";"Noordwijk";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Woon-Zorgcentrum Groot Hoogwaak";62375644;"Stichting";"Groot Hoogwaak ";"1";;;"2202 TG";"Noordwijk Aan Zee";"Nederland";;"Afdeling kleinschalig wonen in Woon-Zorgcentrum Groot Hoogwaak";;;"Groot Hoogwaak ";"1";;;"2202 TG";"Noordwijk Aan Zee";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Topaz";62375644;"Stichting";"Aaltje Noordewierlaan ";"50";;;"2324 KS";"Leiden";"Nederland";;"Verpleegunit in Topaz Munnekeweij";;;"Via Antiqua ";"25";;;"2211 HW";"Noordwijkerhout";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Zorginstellingen Pieter van Foreest";62375644;"Stichting";"Postbus ";"118";;;"2600 AC";"Delft";"Nederland";;"Stichting Zorginstellingen Pieter van Foreest, locatie Veenhage, vier verpleegafdelingen";;;"Meidoornlaan ";"2";;;"2631 GC";"Nootdorp";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dignis | Lentis";62375644;"Stichting";"Postbus ";"8089";;;"9702 KB";"Groningen";"Nederland";;"Verpleegafdeling in verpleeghuis De Omloop";;;"Grootveenweg ";"57";"-a";;"9331 KB";"Norg";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Archipel Zorggroep";62375644;;"Karel de Grotelaan ";"415";;;"5654 NN";"Eindhoven";"Nederland";;"Archipel Akkers";;;"Margot Begemannstraat ";"9";;;"5671 CW";"Nuenen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Savant Zorg";62375644;"Stichting";"Postbus ";"222";;;"5700 AE";"Helmond";"Nederland";;"Savant van Lenthof";;;"Van Lenthof ";"2";;;"5671 ET";"Nuenen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting St. Jozefoord";62375644;"Stichting";"Duyn en Daelseweg ";"15";;;"5391 EC";"Nuland";"Nederland";;"St. Jozefoord, Afdeling Zonzicht op de begane grond";;;"Duyn en Daelseweg ";"15";;;"5391 EC";"Nuland";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting St. Jozefoord";62375644;"Stichting";"Duyn en Daelseweg ";"15";;;"5391 EC";"Nuland";"Nederland";;"St. Jozefoord, Afdeling Parkzicht (kleinschalig wonen) op de begane grond)";;;"Duyn en Daelseweg ";"15";;;"5391 EC";"Nuland";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting St. Jozefoord";62375644;"Stichting";"Duyn en Daelseweg ";"15";;;"5391 EC";"Nuland";"Nederland";;"St. Jozefoord, Afdeling Laanzicht, onderdeel van afdeling Boszicht (kleinschalig wonen)";;;"Duyn en Daelseweg ";"15";;;"5391 EC";"Nuland";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting St. Jozefoord";62375644;"Stichting";"Duyn en Daelseweg ";"15";;;"5391 EC";"Nuland";"Nederland";;"St. Jozefoord, Afdeling Berkenzicht";;;"Duyn en Daelseweg ";"15";;;"5391 EC";"Nuland";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting St. Jozefoord";62375644;"Stichting";"Duyn en Daelseweg ";"15";;;"5391 EC";"Nuland";"Nederland";;"St. Jozefoord, Zicht op Nuland";;;"Duyn en Daelseweg ";"15";;;"5391 EC";"Nuland";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Brabant Zorg";62375644;"Stichting";"Postbus ";"176";;;"5340 AD";"Oss";"Nederland";;"Verpleegafdeling op de 1e etage van Martinushuis";;;"Kloosterstraat ";"3";;;"5391 AB";"Nuland";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Alerimus";62375644;"Stichting";"Postbus ";"7332";;;"3280 AC";"Numansdorp";"Nederland";;"Verpleegafdelingen in De Buitensluis";;;"Bernhardstraat ";"25";;;"3281 BC";"Numansdorp";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting WZU Veluwe";62375644;"Stichting";"Postbus ";"111";;;"8070 AC";"Nunspeet";"Nederland";;"Verpleegafdeling De Marsse in De Bunterhoek";;;"Secretaris Boerhoutweg ";"11";;;"8071 HT";"Nunspeet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Zorgverlening Het Baken";62375644;;"Postbus ";"10";;;"8080 AA";"Elburg";"Nederland";;"De Voord, Locatie Seewende";;;"Het Groene Portaal ";"1";;;"8071 TP";"Nunspeet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Zorggroep Noordwest-Veluwe";62375644;"Stichting";"Postbus ";"15";;;"3850 AA";"Ermelo";"Nederland";;"Kleinschalige woonvorm De Ittmannshof";;;"Ittmannserf ";"1";;;"8071 JK";"Nunspeet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Cicero Zorggroep";62375644;;"Postbus ";"149";;;"6440 AC";"Brunssum";"Nederland";;"Verpleegunits Agaath en Smaragd in zorgcentrum Op den Toren";;;"Valkenburgerweg ";"67";;;"6361 EB";"Nuth";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Omring";62375644;"Stichting";"Postbus ";"142";;;"1620 AC";"Hoorn";"Nederland";;"Omring verpleeghuis, locatie Snijdersveld";;;"Doctor Lohmanstraat ";"21";;;"1713 TG";"Obdam";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Zorgcentra De Betuwe";62375644;"Stichting";"Postbus ";"225";;;"4100 AE";"Culemborg";"Nederland";;"Verpleegunit op de tweede etage in Verzorgingshuis Elim";;;"B. van de Walstraat ";"2";;;"4051 AK";"Ochten";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Treant Zorggroep";62375644;"Stichting";"Postbus ";"30002";;;"7800 RA";"Emmen";"Nederland";;"Woonwijkcentrum De Paasbergen, verpleegafdelingen Eekhorst, Lindehorst en Havixhorst";;;"De Paasbergen ";"1";;;"7873 BE";"Odoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Marente";62375644;"Stichting";"Postbus ";"55";;;"2215 ZH";"Voorhout";"Nederland";;"Verpleeghuis Hofwijck";;;"Hazenboslaan ";"38";;;"2341 SC";"Oegstgeest";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Marente";62375644;"Stichting";"Postbus ";"55";;;"2215 ZH";"Voorhout";"Nederland";;"Psychogeriatrische afdeling in verpleeghuis Van Wijckerslooth";;;"Van Wijckersloothplein ";"1";;;"2341 BB";"Oegstgeest";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Marente";62375644;"Stichting";"Postbus ";"55";;;"2215 ZH";"Voorhout";"Nederland";;"Afdeling geriatrische revalidatiezorg in verpleeghuis Van Wijckerslooth";;;"Van Wijckersloothplein ";"1";;;"2341 BB";"Oegstgeest";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Amaliazorg";62375644;"Stichting";"Postbus ";"220";;;"5688 ZL";"Oirschot";"Nederland";;"Stichting Amaliazorg, locatie Kempenhaeve";;;"Koestraat ";"37";;;"5688 AG";"Oirschot";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Joriszorg";62375644;"Stichting";"Sint Jorisstraat ";"1";;;"5688 AS";"Oirschot";"Nederland";;"Verpleeghuis St. Joris";;;"Sint Jorisstraat ";"1";;;"5688 AS";"Oirschot";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Amaliazorg";62375644;"Stichting";"Postbus ";"220";;;"5688 ZL";"Oirschot";"Nederland";;"Stichting Amaliazorg, locatie Blijendaal";;;"Nieuwstraat ";"28";;;"5688 BE";"Oirschot";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Amaliazorg";62375644;"Stichting";"Postbus ";"220";;;"5688 ZL";"Oirschot";"Nederland";;"Stichting Amaliazorg, locatie Catharinenberg";;;"Poirtersstraat ";"3";;;"5061 BG";"Oisterwijk";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Thebe";62375644;"Stichting";"Postbus ";"9757";;;"4801 LW";"Breda";"Nederland";;"Verpleeghuis Dependance Thebe De Vloet";;;"Vloeiweg ";"85";;;"5061 GA";"Oisterwijk";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Zorgverlening Het Baken";62375644;;"Postbus ";"10";;;"8080 AA";"Elburg";"Nederland";;"Verpleegafdeling in Zorgcentrum De Hullen";;;"Stationsweg ";"20";;;"8096 AX";"Oldebroek";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Zorggroep Sint Maarten";62375644;"Stichting";"Postbus ";"244";;;"7570 AE";"Oldenzaal";"Nederland";;"Zorggroep Sint Maarten, locatie Gereia, kleinschalig wonen, 4 afdelingen";;;"Wilhelminastraat ";"150";;;"7573 AK";"Oldenzaal";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
